ID_CONTA,GASTOS DE CRÉDITO,VALOR,Descrição,Pagamento Antecipado,Divida,TOTAL
,VALDECI BOLSAS 1x2,"R$ 60,00",Bolsa de Viagem,,,
,GOOGLE ONE,"R$ 7,99",Memória do Drive,,,
,JULIMAR NASCIMENTO,"R$ 46,40",BARBEIRO,,,
,RAIMUNDA CAMPOS,"R$ 7,69",Açaí do Congresso da Igreja,,,
,OCILA FAVACHO FILHA,"R$ 6,26",2 Sucos no Congresso,,,
,IRMÃ GENI,"R$ 51,50",Gasolina para Ir ao Congresso,,,
13,EDINALDO SANTOS,"R$ 10,44",Encardenação,"R$ 159,01","R$ 636,15","R$ 477,14"
,BATISTA,"R$ 55,27",Hamburgue,,,
,AMAZON MARKETPLACE 2x2,"R$ 79,35",Fone de Ouvido Bluetooth,,,
,VALDECI BOLSAS 2x2,"R$ 60,00",Bolsa de Viagem,,,
,TATIANA COELHO,"R$ 93,39",Presente Pai - Short e Blusa,,,
,JULIMAR NASCIMENTO,"R$ 41,37",Corte de Cabelo,,,
,UBER,"R$ 9,27",Casa - Igreja  ,,,
,GOOGLE ONE,"R$ 7,99",Memória do Drive,,,
,PONTO 1,"R$ 9,30",Lanchão de Queijo e Presunto,,,
,TATIANA COELHO,"R$ 84,46",Produtos de mês,,,
,ROBERTO HERICK,"R$ 24,67",Pastéis com Suco,,,
,UBER,"R$ 10,85",Faculdade - Tribunal,,,
,UBER,"R$ 10,77",Casa - Igreja,,,
,UBER,"R$ 9,53",Cada - Igreja,,,
,AMAZON MARKETPLACE 1X3,"R$ 67,99",Compra de Mochila,,,
,UBER,"R$ 15,34",Trabalho - Faculdade (Perda de Carteira),,,
,UBER,"R$ 29,07",Faculdade - Casa (Perda de Carteira),,,
,UBER,"R$ 17,09",Igreja - Casa (Aula Batismo),,,
14,AMAZON MARKETPLACE 2X3,"R$ 67,99",Compra de Mochila,"R$ 39,59","R$ 569,99","R$ 530,40"
,BLAUS EVENTOS,"R$ 28,00",Sorvete,,,
,PONTO 1,"R$ 8,35",Barra de Proteina,,,
,UBER,"R$ 4,32",Trabalho - Faculdade (Aula de PI),,,
,GOOGLE ONE,"R$ 7,99",Memória do Drive,,,
,LIDER CN,"R$ 68,49",Compras do Mês,,,
,NATURA ECO 1/2,"R$ 99,04",Perfume Coragio,,,
,CONSULTA MÃE,"R$ 51,43",Consulta da mãe,,,
,PONTO 1,"R$ 3,06",Menta,,,
,PONTO 1,"R$ 7,15",Barra de Chocolate,,,
,UBER,"R$ 5,38",Trabalho - Faculdade,,,
,BRAZZ BRAZZ 1/3,"R$ 94,98",Calculadora Científica,,,
,UBER,"R$ 9,93",Casa - Igreja,,,
,OPENAI,"R$ 113,88",ChatGPT Plus,,,
15,NATURA ECO 2/2,"R$ 99,04",Perfume Coragio,"R$ 25,53","R$ 543,05","R$ 517,52"
,BRAZZ BRAZZ 2/3,"R$ 94,96",Calculadora Científica,,,
,AMAZON MARKETPLACE 3/3,"R$ 67,99",Compra de Mochila,,,
,UBER,"R$ 12,90",Faculdade - Trabalho ,,,
,EBANX,"R$ 36,53",Antivírus McAff (Compra Inválida),,,
,LIDER CIDADE NOVA,"R$ 112,95",Produtos de mês,,,
,ALANA GLENDA,"R$ 44,48",Camisa Igreja ,,,
,GOOGLE ONE,"R$ 7,99",Memória Drive,,,
,UBER,"R$ 7,21",Trabalho - Hospital pai,,,
,UBER,"R$ 7,05",Trabalho - Hospital pai,,,
,UBER ,"R$ 7,11",Trabalho - Hospital Pai,,,
,UBER,"R$ 5,31",Sem informações,,,
,UBER,"R$ 12,67",Falhou o carro do papai,,,
,UBER,"R$ 9,58",Casa - pai,,,
,PONTO 1,"R$ 9,15",Lanchão de Queijo e Presunto,,,
,PONTO 1,"R$ 8,13",Barra de Chocolate,,,
16,EBANX,"R$ 36,53",Antivírus McAff (Compra Inválida),"R$ 175,13","R$ 718,37","R$ 543,24"
,BRAZZ BRAZZ,"R$ 94,96",Calculadora Científica,,,
,UBER,"R$ 9,41",Casa - Igreja no domingo,,,
,HANNA CIDADE NOVA,"R$ 40,00",Gasolina carro do pai (PAGO),,,
,UBER,"R$ 11,30",Trabalho - Faculdade (P.I 3),,,
,LIDER CIDADE NOVA,"R$ 91,78",Compras do Mês,,,
,UBER,"R$ 13,02",Casa - Igreja (Culto de Domingo),,,
,UBER,"R$ 9,58",Faculdade - Trabalho,,,
,GOOGLE ONE,"R$ 7,99",Memória do Drive,,,
,UBER,"R$ 5,83",Sem informações,,,
,UBER,"R$ 6,64",Sem informações,,,
,MOOZ SOLUÇÕES 1X3,"R$ 86,47",Presente Perfume Mãe,,,
,SUPERMERC FORMOSA 1X2,"R$ 94,95",Blusa Social (DESCONTADO DO MIMO),,,
,UBER,"R$ 9,59",Casa - Igreja,,,
,PONTO 1,"R$ 9,24",Lanchão de Queijo e Presunto,,,
,TAISE AGUIAR,"R$ 10,26",Barra de Proteina,,,
,PONTO 1,"R$ 10,19",Barra de Chocolate,,,
,PANIFICADORA EMPORIO DA PRAÇA,"R$ 22,34",Lanches,,,
,TATIANA 1x2,"R$ 65,00",Calça (PAGAR PARA MÃE),,,
,BLAUS EVENTOS,"R$ 16,00",Sorvete antes do ensaio de quarta,,,
,UBER,"R$ 9,93",Casa - Casa Pai,,,
,UBER,"R$ 9,81",Sem informações,,,
,UBER,"R$ 37,73",Dia que o carro do pai deu problema,,,
,UBER,"R$ 9,82",Sem informações,,,
