ID_CONTA,GASTOS DE CRÉDITO,VALOR,Descrição,Pagamento Antecipado,Divida,TOTAL
7,BARBEIRO,"R$ 41,75",Sem informação,"R$ 26,76","R$ 313,17","R$ 286,41"
,LIDER CIDADE NOVA,"R$ 117,83",Sem informação,,,
,UBER,"R$ 72,01",Sem informação,,,
,GOOGLE,"R$ 1,99",Sem informação,,,
,"AMAZON SERVIÇOS
(COMPRA LIVRO)","R$ 28,85",Sem informação,,,
,PONTO 1,"R$ 16,33",Sem informação,,,
,DEMERGE,"R$ 30,34",Sem informação,,,
,IMPRESSÃO,"R$ 4,07",Sem informação,,,
8,NORTON Ap1515,"R$ 55,00","Cricyla e Pai já realizaram o pagamento de suas partes. R$57,00 cada","R$ 0,00","R$ 225,29","R$ 225,29"
,Claudia Gonçalves - Picolé ,"R$ 3,13",Picolé comprado no TRT8,,,
,UBER,"R$ 5,51",dinheiro gasto para ir ao TRT8 no dia 08/03,,,
,"Amazon SERVIÇOS
(COMPRA LIVRO)","R$ 104,60",Livro Aprendendo Node: Usando javascript no servidor (08/03),,,
,UBER,"R$ 27,28",Congregação do DLJ no Bengui no dia 17/03,,,
,UBER,"R$ 9,97",Auto Escola Atrasado 15/03,,,
,UBER,"R$ 6,58",Ir para o TRT8 depois da aula prática de ciência dos materiais 14/03,,,
,GOOGLE,"R$ 7,99",armazenamento do driver,,,
,GABRIEL,"R$ 0,00",Uber para voltar para casa da faculdade no dia 27/03,,,
,UBER,"R$ 5,23",Uber para ir na UPA no dia 01/04 (Papai faculdade),,,
9,UBER,"R$ 1,82",Casa - faculdade (dia de prova de Sensores e Sistemas de Controle) 12/04 (PAGO),"R$ 91,68","R$ 267,48","R$ 175,80"
,UBER,"R$ 5,95",Faculdade - Trabalho (depois da prova de Ciência dos Materiais) 11/04 (PAGO),,,
,GOOGLE,"R$ 7,99",Memória do Driver (PAGO),,,
,UBER,"R$ 4,53",Exame Detran - Casa 03/04 (PAGO),,,
,CHOPP,"R$ 3,10",Chopp do tribunal (PAGO),,,
,UBER,"R$ 4,53",Casa - Igreja no sábado 14/04 (PAGO),,,
,MINI 25 DOCA,"R$ 45,00",Compra de sombrinha no dia 18/04 (PAGO),,,
,LÍDER ,"R$ 123,05",Compra de produtos básicos,,,
,UBER,"R$ 6,33",Faculdade - Trabalho 23/04 (PAGO),,,
,PONTO 1,"R$ 4,10",Barra de Proteina de Banana (PAGO),,,
,UBER,"R$ 5,08",Trabalho - Faculdade 22/04 (A tarde para procurar a carteirinha) (PAGO),,,
,UBER,"R$ 5,99",,,,
,UBER,"R$ 8,91",Igreja - Casa 27/04 (Depois do culto de jovens),,,
,SETRANBEL SINDICATO,"R$ 41,10",Boleto do passe livre - 3° via,,,
10,UBER,"R$ 4,80",Faculdade - Trabalho (Depois da atividade do Erick dia 02/05) (PAGO),"R$ 99,00","R$ 538,90","R$ 439,90"
,CARTPANDA,"R$ 229,52",Compra de Short Drift de Compressão,,,
,ALANA AMADOR,"R$ 6,52",Pagamento para participar do vôlei dia 04/05 (PAGO),,,
,UBER,"R$ 8,98",Casa - Igreja 05/05 (PAGO),,,
,UBER,"R$ 3,59",Auto escola - Casa (PAGO),,,
,PONTO 1,"R$ 6,25",Barra de chocolate (PAGO),,,
,PONTO 1,"R$ 6,24",Barra de chocolate (PAGO),,,
,UBER,"R$ 6,25",Faculdade - Trabalho 07/05 (PAGO),,,
,UBER,"R$ 6,37",Faculdade - Trabalho 10/05 (PAGO),,,
,Google Storage,"R$ 7,99",Plano do Driver ,,,
,Lider,"R$ 26,64",Compras de lanche no líder ,,,
,MINI 25 DOCA,"R$ 45,00",Garrafa de Água 14/05,,,
,PONTO 1,"R$ 9,27",Lanchão de Queijo e Presunto,,,
,UBER,"R$ 4,72",Faculdade - Tribunal (17/05),,,
,PONTO 1,"R$ 9,20",Lanchão de Queijo e Presunto,,,
,PONTO 1,"R$ 8,17",Barra de Chocolate,,,
,UBER,"R$ 22,24",Aldeia Amazônica - Casa (23/05),,,
,UBER,"R$ 50,97",Casa - Concurso 26/05,,,
,LIDER CIDADE NOVA,"R$ 39,90",Compra de Sandália ,,,
,PONTO 1,"R$ 8,13",Barra de chocolate,,,
,PONTO 1,"R$ 9,15",Lanchão de Queijo e Presunto,,,
,REMÉDIO VALÉRIA,"R$ 19,00",Refoxina (PAGO) - Pegar dinheiro com Carol,,,
11,LIDER CIDADE NOVA,"R$ 139,90",Presente Mãe - Bolsa,"R$ 151,49","R$ 515,00","R$ 363,51"
,Julimar Nascimento,"R$ 31,29",Corte de Cabelo,,,
,Ignis pay processamento de pagamentos LTDA,"R$ 60,32",Frete Suplementos Growth,,,
,ABCT,"R$ 26,50",Pagamento Boleto Liberar Shorts (PAGO),,,
,Google Shueisha,"R$ 23,99",Conta do MangaPlus (PAGO),,,
,DevMedia,"R$ 69,00",Plataforma DevMedia (PAGO),,,
,GOOGLE ONE,"R$ 7,99",Plano do Driver (PAGO),,,
,UBER,"R$ 51,70",Casa - DETRAN (Exame final),,,
,ALANA GLENDA,"R$ 15,42",Passagem de Volta do Congresso,,,
,PONTO 1,"R$ 8,21",Barra de Chocolate,,,
,VANESSA RIBEIRO,"R$ 72,58",3 HAMBÚRGUER DO GANSO,,,
,UBER,"R$ 8,10",Casa - UPA,,,
12,AMAZON MARKETPLACE 1x2,"R$ 79,36",Fone de Ouvido Bluetooth,"R$ 90,08","R$ 259,20","R$ 169,12"
